timestamp,xc_id,species,references,download_url,error
2026-01-10T10:45:58.199245+00:00,XC566580,acrocephalus dumetorum,https://data.biodiversitydata.nl/xeno-canto/observation/XC566580,https://xeno-canto.org/566580/download,Download failed after retries: Downloaded file too small (likely error page).
2026-01-10T11:24:11.137148+00:00,XC117117,acrocephalus dumetorum,https://data.biodiversitydata.nl/xeno-canto/observation/XC117117,https://xeno-canto.org/117117/download,Download failed after retries: Downloaded file too small (likely error page).
2026-01-10T12:09:41.454647+00:00,XC530718,acrocephalus palustris,https://data.biodiversitydata.nl/xeno-canto/observation/XC530718,https://xeno-canto.org/530718/download,Download failed after retries: 404 Client Error: Not Found for url: https://xeno-canto.org/530718/download
2026-01-10T12:19:34.692231+00:00,XC729403,acrocephalus palustris,https://data.biodiversitydata.nl/xeno-canto/observation/XC729403,https://xeno-canto.org/729403/download,Download failed after retries: 404 Client Error: Not Found for url: https://xeno-canto.org/729403/download
2026-01-10T12:46:37.071542+00:00,XC245726,acrocephalus palustris,https://data.biodiversitydata.nl/xeno-canto/observation/XC245726,https://xeno-canto.org/245726/download,Download failed after retries: 404 Client Error: Not Found for url: https://xeno-canto.org/245726/download
2026-01-10T13:12:48.632920+00:00,XC560639,acrocephalus schoenobaenus,https://data.biodiversitydata.nl/xeno-canto/observation/XC560639,https://xeno-canto.org/560639/download,Audio too short: 0.91s
2026-01-10T13:31:58.436185+00:00,XC800153,acrocephalus schoenobaenus,https://data.biodiversitydata.nl/xeno-canto/observation/XC800153,https://xeno-canto.org/800153/download,Download failed after retries: 404 Client Error: Not Found for url: https://xeno-canto.org/800153/download
2026-01-10T13:40:47.783103+00:00,XC804137,acrocephalus scirpaceus,https://data.biodiversitydata.nl/xeno-canto/observation/XC804137,https://xeno-canto.org/804137/download,Download failed after retries: 404 Client Error: Not Found for url: https://xeno-canto.org/804137/download
2026-01-10T13:41:44.934282+00:00,XC526296,acrocephalus scirpaceus,https://data.biodiversitydata.nl/xeno-canto/observation/XC526296,https://xeno-canto.org/526296/download,Audio too short: 0.89s
2026-01-10T14:25:57.220355+00:00,XC586754,actitis hypoleucos,https://data.biodiversitydata.nl/xeno-canto/observation/XC586754,https://xeno-canto.org/586754/download,Download failed after retries: Downloaded file too small (likely error page).
2026-01-10T14:27:20.989728+00:00,XC732058,actitis hypoleucos,https://data.biodiversitydata.nl/xeno-canto/observation/XC732058,https://xeno-canto.org/732058/download,Download failed after retries: Downloaded file too small (likely error page).
2026-01-10T14:32:24.997258+00:00,XC550338,aegithalos caudatus,https://data.biodiversitydata.nl/xeno-canto/observation/XC550338,https://xeno-canto.org/550338/download,Download failed after retries: Downloaded file too small (likely error page).
2026-01-10T14:38:09.891690+00:00,XC952577,aegithalos caudatus,https://data.biodiversitydata.nl/xeno-canto/observation/XC952577,https://xeno-canto.org/952577/download,Download failed after retries: Downloaded file too small (likely error page).
2026-01-10T14:50:36.241512+00:00,XC720021,aegithalos caudatus,https://data.biodiversitydata.nl/xeno-canto/observation/XC720021,https://xeno-canto.org/720021/download,Download failed after retries: Downloaded file too small (likely error page).
2026-01-10T15:32:48.189077+00:00,XC986030,anas crecca,https://data.biodiversitydata.nl/xeno-canto/observation/XC986030,https://xeno-canto.org/986030/download,Download failed after retries: 404 Client Error: Not Found for url: https://xeno-canto.org/986030/download
2026-01-10T15:43:43.270964+00:00,XC587169,anas platyrhynchos,https://data.biodiversitydata.nl/xeno-canto/observation/XC587169,https://xeno-canto.org/587169/download,Download failed after retries: Downloaded file too small (likely error page).
2026-01-10T15:48:39.485424+00:00,XC249282,anas platyrhynchos,https://data.biodiversitydata.nl/xeno-canto/observation/XC249282,https://xeno-canto.org/249282/download,Audio too short: 0.65s
