references,vernacularName,country
https://data.biodiversitydata.nl/xeno-canto/observation/XC730881,Great Reed Warbler,Sweden
https://data.biodiversitydata.nl/xeno-canto/observation/XC376579,Great Reed Warbler,Netherlands
https://data.biodiversitydata.nl/xeno-canto/observation/XC755466,Great Reed Warbler,Spain
https://data.biodiversitydata.nl/xeno-canto/observation/XC707515,Great Reed Warbler,South Africa
https://data.biodiversitydata.nl/xeno-canto/observation/XC417722,Great Reed Warbler,Germany
https://data.biodiversitydata.nl/xeno-canto/observation/XC1004289,Great Reed Warbler,Spain
https://data.biodiversitydata.nl/xeno-canto/observation/XC79581,Great Reed Warbler,Norway
https://data.biodiversitydata.nl/xeno-canto/observation/XC699182,Great Reed Warbler,Netherlands
https://data.biodiversitydata.nl/xeno-canto/observation/XC555656,Great Reed Warbler,Croatia
https://data.biodiversitydata.nl/xeno-canto/observation/XC562040,Great Reed Warbler,Czech Republic
https://data.biodiversitydata.nl/xeno-canto/observation/XC908980,Great Reed Warbler,Netherlands
https://data.biodiversitydata.nl/xeno-canto/observation/XC74660,Great Reed Warbler,Estonia
https://data.biodiversitydata.nl/xeno-canto/observation/XC54029,Great Reed Warbler,Italy
https://data.biodiversitydata.nl/xeno-canto/observation/XC1001019,Great Reed Warbler,Sweden
https://data.biodiversitydata.nl/xeno-canto/observation/XC727970,Great Reed Warbler,United Kingdom
https://data.biodiversitydata.nl/xeno-canto/observation/XC164030,Great Reed Warbler,South Africa
https://data.biodiversitydata.nl/xeno-canto/observation/XC549619,Great Reed Warbler,Italy
https://data.biodiversitydata.nl/xeno-canto/observation/XC862115,Great Reed Warbler,France
https://data.biodiversitydata.nl/xeno-canto/observation/XC655721,Great Reed Warbler,Slovenia
https://data.biodiversitydata.nl/xeno-canto/observation/XC421111,Great Reed Warbler,Italy
https://data.biodiversitydata.nl/xeno-canto/observation/XC813205,Great Reed Warbler,Kazakhstan
https://data.biodiversitydata.nl/xeno-canto/observation/XC907167,Great Reed Warbler,Spain
https://data.biodiversitydata.nl/xeno-canto/observation/XC373112,Great Reed Warbler,Finland
https://data.biodiversitydata.nl/xeno-canto/observation/XC648967,Great Reed Warbler,Switzerland
https://data.biodiversitydata.nl/xeno-canto/observation/XC918151,Great Reed Warbler,Germany
https://data.biodiversitydata.nl/xeno-canto/observation/XC950718,Great Reed Warbler,Oman
https://data.biodiversitydata.nl/xeno-canto/observation/XC180958,Great Reed Warbler,Spain
https://data.biodiversitydata.nl/xeno-canto/observation/XC778542,Great Reed Warbler,Poland
https://data.biodiversitydata.nl/xeno-canto/observation/XC77815,Great Reed Warbler,Denmark
https://data.biodiversitydata.nl/xeno-canto/observation/XC904412,Great Reed Warbler,Georgia
https://data.biodiversitydata.nl/xeno-canto/observation/XC318037,Great Reed Warbler,Poland
https://data.biodiversitydata.nl/xeno-canto/observation/XC323584,Great Reed Warbler,Hungary
https://data.biodiversitydata.nl/xeno-canto/observation/XC134082,Great Reed Warbler,Italy
https://data.biodiversitydata.nl/xeno-canto/observation/XC183238,Great Reed Warbler,Spain
https://data.biodiversitydata.nl/xeno-canto/observation/XC246856,Great Reed Warbler,Germany
https://data.biodiversitydata.nl/xeno-canto/observation/XC973076,Great Reed Warbler,Bulgaria
https://data.biodiversitydata.nl/xeno-canto/observation/XC649768,Great Reed Warbler,Sweden
https://data.biodiversitydata.nl/xeno-canto/observation/XC417025,Great Reed Warbler,France
https://data.biodiversitydata.nl/xeno-canto/observation/XC910246,Great Reed Warbler,Spain
https://data.biodiversitydata.nl/xeno-canto/observation/XC799257,Great Reed Warbler,Slovakia
https://data.biodiversitydata.nl/xeno-canto/observation/XC909716,Great Reed Warbler,France
https://data.biodiversitydata.nl/xeno-canto/observation/XC241968,Great Reed Warbler,France
https://data.biodiversitydata.nl/xeno-canto/observation/XC193623,Great Reed Warbler,Estonia
https://data.biodiversitydata.nl/xeno-canto/observation/XC817328,Great Reed Warbler,Germany
https://data.biodiversitydata.nl/xeno-canto/observation/XC484749,Great Reed Warbler,Poland
https://data.biodiversitydata.nl/xeno-canto/observation/XC777057,Great Reed Warbler,Poland
https://data.biodiversitydata.nl/xeno-canto/observation/XC422019,Great Reed Warbler,Germany
https://data.biodiversitydata.nl/xeno-canto/observation/XC1005468,Great Reed Warbler,Finland
https://data.biodiversitydata.nl/xeno-canto/observation/XC570079,Great Reed Warbler,Spain
https://data.biodiversitydata.nl/xeno-canto/observation/XC385559,Great Reed Warbler,Germany
https://data.biodiversitydata.nl/xeno-canto/observation/XC278476,Great Reed Warbler,Spain
https://data.biodiversitydata.nl/xeno-canto/observation/XC564727,Great Reed Warbler,Turkey
https://data.biodiversitydata.nl/xeno-canto/observation/XC376574,Great Reed Warbler,Netherlands
https://data.biodiversitydata.nl/xeno-canto/observation/XC29764,Great Reed Warbler,Switzerland
https://data.biodiversitydata.nl/xeno-canto/observation/XC398406,Great Reed Warbler,Netherlands
https://data.biodiversitydata.nl/xeno-canto/observation/XC561988,Great Reed Warbler,France
https://data.biodiversitydata.nl/xeno-canto/observation/XC347289,Great Reed Warbler,Turkey
https://data.biodiversitydata.nl/xeno-canto/observation/XC903134,Great Reed Warbler,France
https://data.biodiversitydata.nl/xeno-canto/observation/XC381011,Great Reed Warbler,Hungary
https://data.biodiversitydata.nl/xeno-canto/observation/XC413584,Great Reed Warbler,Poland
https://data.biodiversitydata.nl/xeno-canto/observation/XC314661,Great Reed Warbler,Greece
https://data.biodiversitydata.nl/xeno-canto/observation/XC347290,Great Reed Warbler,Poland
https://data.biodiversitydata.nl/xeno-canto/observation/XC842485,Great Reed Warbler,Spain
https://data.biodiversitydata.nl/xeno-canto/observation/XC802868,Great Reed Warbler,Sweden
https://data.biodiversitydata.nl/xeno-canto/observation/XC134206,Great Reed Warbler,Switzerland
https://data.biodiversitydata.nl/xeno-canto/observation/XC804594,Great Reed Warbler,United Arab Emirates
https://data.biodiversitydata.nl/xeno-canto/observation/XC713535,Great Reed Warbler,Hungary
https://data.biodiversitydata.nl/xeno-canto/observation/XC912944,Great Reed Warbler,Norway
https://data.biodiversitydata.nl/xeno-canto/observation/XC899530,Great Reed Warbler,France
https://data.biodiversitydata.nl/xeno-canto/observation/XC807296,Great Reed Warbler,Germany
https://data.biodiversitydata.nl/xeno-canto/observation/XC309385,Great Reed Warbler,South Africa
https://data.biodiversitydata.nl/xeno-canto/observation/XC478172,Great Reed Warbler,Netherlands
https://data.biodiversitydata.nl/xeno-canto/observation/XC37397,Great Reed Warbler,Spain
https://data.biodiversitydata.nl/xeno-canto/observation/XC1001185,Great Reed Warbler,Austria
https://data.biodiversitydata.nl/xeno-canto/observation/XC939912,Great Reed Warbler,France
https://data.biodiversitydata.nl/xeno-canto/observation/XC949351,Great Reed Warbler,Germany
https://data.biodiversitydata.nl/xeno-canto/observation/XC144968,Great Reed Warbler,Italy
https://data.biodiversitydata.nl/xeno-canto/observation/XC722574,Great Reed Warbler,Sweden
https://data.biodiversitydata.nl/xeno-canto/observation/XC322182,Great Reed Warbler,Greece
https://data.biodiversitydata.nl/xeno-canto/observation/XC585552,Great Reed Warbler,Germany
https://data.biodiversitydata.nl/xeno-canto/observation/XC777449,Great Reed Warbler,Poland
https://data.biodiversitydata.nl/xeno-canto/observation/XC558970,Great Reed Warbler,Poland
https://data.biodiversitydata.nl/xeno-canto/observation/XC1003275,Great Reed Warbler,Slovakia
https://data.biodiversitydata.nl/xeno-canto/observation/XC905393,Great Reed Warbler,Poland
https://data.biodiversitydata.nl/xeno-canto/observation/XC905042,Great Reed Warbler,Poland
https://data.biodiversitydata.nl/xeno-canto/observation/XC478412,Great Reed Warbler,Sweden
https://data.biodiversitydata.nl/xeno-canto/observation/XC468881,Great Reed Warbler,Spain
https://data.biodiversitydata.nl/xeno-canto/observation/XC649832,Great Reed Warbler,Netherlands
https://data.biodiversitydata.nl/xeno-canto/observation/XC373143,Great Reed Warbler,Switzerland
https://data.biodiversitydata.nl/xeno-canto/observation/XC656317,Great Reed Warbler,Turkey
https://data.biodiversitydata.nl/xeno-canto/observation/XC424245,Great Reed Warbler,Germany
https://data.biodiversitydata.nl/xeno-canto/observation/XC566755,Great Reed Warbler,Italy
https://data.biodiversitydata.nl/xeno-canto/observation/XC651559,Great Reed Warbler,Netherlands
https://data.biodiversitydata.nl/xeno-canto/observation/XC329529,Great Reed Warbler,Germany
https://data.biodiversitydata.nl/xeno-canto/observation/XC647443,Great Reed Warbler,Sweden
https://data.biodiversitydata.nl/xeno-canto/observation/XC480991,Great Reed Warbler,Slovakia
https://data.biodiversitydata.nl/xeno-canto/observation/XC661344,Great Reed Warbler,Spain
https://data.biodiversitydata.nl/xeno-canto/observation/XC565629,Great Reed Warbler,Italy
https://data.biodiversitydata.nl/xeno-canto/observation/XC368122,Great Reed Warbler,Germany
https://data.biodiversitydata.nl/xeno-canto/observation/XC776818,Great Reed Warbler,Slovakia
https://data.biodiversitydata.nl/xeno-canto/observation/XC381177,Great Reed Warbler,France
https://data.biodiversitydata.nl/xeno-canto/observation/XC912687,Great Reed Warbler,Sweden
https://data.biodiversitydata.nl/xeno-canto/observation/XC139555,Great Reed Warbler,France
https://data.biodiversitydata.nl/xeno-canto/observation/XC570837,Great Reed Warbler,Hungary
https://data.biodiversitydata.nl/xeno-canto/observation/XC727807,Great Reed Warbler,Croatia
https://data.biodiversitydata.nl/xeno-canto/observation/XC477945,Great Reed Warbler,Netherlands
https://data.biodiversitydata.nl/xeno-canto/observation/XC899272,Great Reed Warbler,Poland
https://data.biodiversitydata.nl/xeno-canto/observation/XC561194,Great Reed Warbler,Germany
https://data.biodiversitydata.nl/xeno-canto/observation/XC905068,Great Reed Warbler,Greece
https://data.biodiversitydata.nl/xeno-canto/observation/XC790068,Great Reed Warbler,Poland
https://data.biodiversitydata.nl/xeno-canto/observation/XC370701,Great Reed Warbler,Switzerland
https://data.biodiversitydata.nl/xeno-canto/observation/XC104564,Great Reed Warbler,Bulgaria
https://data.biodiversitydata.nl/xeno-canto/observation/XC77639,Great Reed Warbler,Spain
https://data.biodiversitydata.nl/xeno-canto/observation/XC377794,Great Reed Warbler,Sweden
https://data.biodiversitydata.nl/xeno-canto/observation/XC103169,Great Reed Warbler,Italy
https://data.biodiversitydata.nl/xeno-canto/observation/XC535692,Great Reed Warbler,Austria
https://data.biodiversitydata.nl/xeno-canto/observation/XC903254,Great Reed Warbler,Germany
https://data.biodiversitydata.nl/xeno-canto/observation/XC996255,Great Reed Warbler,France
https://data.biodiversitydata.nl/xeno-canto/observation/XC180757,Great Reed Warbler,Sweden
https://data.biodiversitydata.nl/xeno-canto/observation/XC862098,Great Reed Warbler,France
https://data.biodiversitydata.nl/xeno-canto/observation/XC558386,Great Reed Warbler,Netherlands
https://data.biodiversitydata.nl/xeno-canto/observation/XC482975,Great Reed Warbler,Sweden
https://data.biodiversitydata.nl/xeno-canto/observation/XC135424,Great Reed Warbler,Netherlands
https://data.biodiversitydata.nl/xeno-canto/observation/XC420465,Great Reed Warbler,Poland
https://data.biodiversitydata.nl/xeno-canto/observation/XC424006,Great Reed Warbler,Poland
https://data.biodiversitydata.nl/xeno-canto/observation/XC573628,Great Reed Warbler,Norway
https://data.biodiversitydata.nl/xeno-canto/observation/XC845820,Great Reed Warbler,France
https://data.biodiversitydata.nl/xeno-canto/observation/XC579176,Great Reed Warbler,Germany
https://data.biodiversitydata.nl/xeno-canto/observation/XC772852,Great Reed Warbler,Sweden
https://data.biodiversitydata.nl/xeno-canto/observation/XC963584,Great Reed Warbler,Portugal
https://data.biodiversitydata.nl/xeno-canto/observation/XC661398,Great Reed Warbler,Poland
https://data.biodiversitydata.nl/xeno-canto/observation/XC651705,Great Reed Warbler,Germany
https://data.biodiversitydata.nl/xeno-canto/observation/XC733014,Great Reed Warbler,Spain
https://data.biodiversitydata.nl/xeno-canto/observation/XC1031104,Great Reed Warbler,Croatia
https://data.biodiversitydata.nl/xeno-canto/observation/XC903845,Great Reed Warbler,France
https://data.biodiversitydata.nl/xeno-canto/observation/XC319528,Great Reed Warbler,France
https://data.biodiversitydata.nl/xeno-canto/observation/XC376637,Great Reed Warbler,Spain
https://data.biodiversitydata.nl/xeno-canto/observation/XC467851,Great Reed Warbler,Portugal
